Felipe,21203,12;29;24;50;33
Cristobal,57028,15;57;49;32;44;8
Gustavo,24294,39;29;20;44;13;36
Natalia,31393,11;19;8;21;36;9
Daniela,77341,12;56;11;54;22
Ignacio,75129,15;1;57;55;51
Loreto,68725,38;14;21;33
Adrian,58458,12;20;42;59;38;9
Antonia,45311,5;25;32;51;14
Ignacio,62131,46;32;21;43;9
Macarena,24787,5;48;1;57;13;51
Valentina,64278,1;35;55;47
Guillermo,58457,58;48;26;45;44;21
Francisco,23927,12;29;37;22;3;16
Gabriela,65492,26;18;21;4
Pedro,70493,27;34;19;49
Stariel Lord,36991,2;26;17;33;43;59
Cristian,44762,35;38;47;29
Juan,70352,27;1;50;42;55
Enzo,49934,56;11;41;49;33
Ariel,12011,1;11;30;53;13;22
Belen,27574,58;46;20;36;16
Hernan,20232,15;52;24;30;14;6
Maria,66207,19;42;55;9;51
Javiera,56127,58;5;54;42;55;51
Victoria,64759,21;44;19;47
Andrea,61156,42;28;41;40
Francisca,55250,24;19;38;18;40
Mar,12211,4;10;58;51
Jorge,16095,36;5;51;23
Constanza,34518,1;20;57;35;25;18
Renata,76493,26;16;13;47
Mario,49725,15;12;11;19;54;34
Julio,60500,24;37;1;48
Matias,72903,52;56;20;31;49;38
Antonio,68784,52;26;54;4;22
Josefa,22060,45;30;32;44;40
Isadora,29248,1;54;53;9;51
Alejandro,21596,15;37;41;27
Isidora,36995,39;12;48;30;4
Catalina,21875,1;33;52;38
Andres,18971,10;52;24;53;36
Elena,45020,56;57;49;13;16
Joaquin,25663,15;58;1;54;3;40
Raimundo,20469,20;17;45;32;53;55
Tamara,17042,31;18;12;44
Katherine,38255,20;33;34;25;30;18
Josefina,26885,42;53;36;18;40
Sol,66984,23;57;54;55;4;6
Rodrigo,17402,54;47;45;33;8;14
Fernando,12477,45;15;17;29
Ignacia,41131,35;57;51;54
Trinidad,51757,27;1;8;21;13
Sergio,71894,11;47;45;36;16
Diego,16220,52;48;20;49;22
Sofia,12229,12;48;54;49;25
Vania,54668,25;31;21;54
Pablo,68322,4;18;51;19
Tomas,27483,58;31;2;41
Franco,49693,26;17;19;35;8
Alejandra,46369,15;39;17;25;3
Roberto,28186,27;7;37;57;34
Fernanda,46814,10;29;26;20;43;22
Vicente,27107,23;1;24;9;18
